date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2016/2/15,14.68,15.19,15.05,14.54,28223.87,-0.25,-1.63,14.904,14.467,15.064,34132.84,34157.89,40305.9
2016/2/5,15.02,15.9,15.3,15.02,37989.99,0.15,0.99,14.714,14.552,15.106,33914.19,34565.89,41796.52
2016/2/4,14.52,15.25,15.15,14.52,40090.4,0.67,4.63,14.448,14.579,15.225,33972.18,33295.33,43083.57
2016/2/3,14.5,14.53,14.47,14.25,22184.43,-0.07,-0.48,14.13,14.604,15.369,31357.17,33820.38,41683.2
2016/2/2,14.15,14.71,14.55,14.05,42175.52,0.46,3.27,14.034,14.758,15.648,35027.99,36015.72,42412.93
2016/2/1,13.99,14.28,14.1,13.9,27130.6,0.12,0.86,14.03,14.925,15.912,34182.93,36809.71,43515.56
2016/1/29,13.59,14.21,13.97,13.3,38279.97,0.4,2.95,14.39,15.071,16.242,35217.6,38291.43,44501
2016/1/28,13.96,14.21,13.56,13.4,27015.35,-0.45,-3.21,14.71,15.216,16.692,32618.48,38769.36,46885.12
2016/1/27,14.64,14.69,13.99,13.26,40538.52,-0.51,-3.52,15.078,15.454,17.107,36283.59,42890.71,46969.85
2016/1/26,15.76,15.88,14.53,14.38,37950.22,-1.38,-8.67,15.482,15.583,17.496,37003.44,44140.74,47568.2
2016/1/25,15.78,16.15,15.9,15.66,32303.94,0.32,2.05,15.82,15.66,17.864,39436.48,46453.91,49260.22
2016/1/22,15.5,15.81,15.57,15.13,25284.37,0.13,0.84,15.752,15.66,18.229,41365.26,49027.15,49985.07
2016/1/21,15.7,16.2,15.4,15,45340.89,-0.6,-3.75,15.722,15.87,18.603,44920.24,52871.81,52477.98
2016/1/20,16.05,16.38,16.01,15.75,44137.8,-0.21,-1.29,15.83,16.134,19.038,49497.83,49546.02,53716.3
2016/1/19,15.55,16.25,16.22,15.33,50115.39,0.67,4.31,15.684,16.538,19.428,51278.04,48810.15,54182.43
2016/1/18,14.97,15.72,15.56,14.7,41947.85,0.17,1.1,15.5,16.899,19.814,53471.33,50221.42,55042.69
2016/1/15,15.71,16.1,15.42,15.21,43059.26,-0.55,-3.44,15.568,17.412,20.236,56689.04,50710.57,58406.8
2016/1/14,14.86,16,15.94,14.39,68228.87,0.7,4.59,16.018,18.168,20.631,60823.37,55000.88,60819.12
2016/1/13,15.45,15.88,15.28,14.75,53038.81,0.01,0.07,16.438,18.759,20.946,49594.2,51048.98,59500.24
2016/1/12,15.9,16.1,15.3,15,61081.87,-0.6,-3.77,17.392,19.409,21.298,46342.26,50995.67,59387.8
2016/1/11,16.59,17.24,15.9,15.9,58036.37,-1.77,-10.02,18.298,20.068,21.648,46971.51,52066.53,58356.88
2016/1/8,18.5,18.57,17.67,16.3,63730.94,-0.37,-2.05,19.256,20.797,21.947,44732.11,50942.98,57791.95
2016/1/7,19.7,19.7,18.04,18.04,12083,-2,-9.98,20.318,21.335,22.174,49178.38,52084.16,61014.55
2016/1/6,19.9,20.28,20.05,19.53,36779.14,0.18,0.91,21.08,21.942,22.337,52503.76,57886.59,63078.9
2016/1/5,19,21.15,19.83,19,64228.1,-0.86,-4.16,21.426,22.317,22.387,55649.07,59554.71,64246.35
2016/1/4,22.8,22.84,20.69,20.68,46839.38,-2.28,-9.93,21.838,22.729,22.497,57161.55,59863.96,64191.02
