,code,name,date,nums,nlast,count,clast,amount,ratio
264,600587,新华医疗,2015-03-31,12,-100,1875.07,-4407.56,84471.76,4.65
265,600585,海螺水泥,2015-03-31,16,-175,5386.28,-14881.83,123022.63,1.35
266,600584,长电科技,2015-03-31,4,-144,798.29,-14143.04,12496.99,0.81
267,600583,海油工程,2015-03-31,10,-115,2397.08,-6337.76,30490.83,0.54
268,600582,天地科技,2015-03-31,2,-78,1631.01,-5526.11,26487.53,0.59
269,600580,卧龙电气,2015-03-31,7,-96,736.15,-11360.98,10401.84,0.66
270,600579,天华院,2015-03-31,2,0,106.39,-384.43,1416.05,0.29
271,600578,京能电力,2015-03-31,1,-80,1.21,-6165.26,7.87,0.00
272,600577,精达股份,2015-03-31,2,-8,1580.00,-2881.02,18707.20,1.11
273,600576,万家文化,2015-03-31,1,-33,380.00,-2868.86,8667.80,0.79
274,600575,皖江物流,2015-03-31,5,-35,46.00,-290.70,189.05,0.02
275,600572,康恩贝,2015-03-31,5,-82,3052.99,-5437.75,64479.14,1.51
276,600571,信雅达,2015-03-31,28,-50,2369.90,-4055.58,132643.52,5.64
277,600570,恒生电子,2015-03-31,107,-87,10674.00,-3391.75,1162185.47,17.28
278,600566,济川药业,2015-03-31,3,-61,90.16,-4214.21,2131.31,0.11
279,600563,法拉电子,2015-03-31,4,-83,69.97,-2643.56,2486.08,0.31
280,600562,国睿科技,2015-03-31,4,-60,179.24,-2795.89,9585.94,0.55
281,600560,金自天正,2015-03-31,1,0,18.00,11.51,273.60,0.08
282,600559,老白干酒,2015-03-31,17,-69,1108.57,-2522.21,57512.81,3.17
283,600558,大西洋,2015-03-31,2,-11,259.75,-4281.80,5065.14,0.29
284,600557,康缘药业,2015-03-31,6,-114,1046.51,-7734.88,28632.45,2.37
285,600552,凯盛科技,2015-03-31,3,-8,1660.20,-1187.33,46732.71,4.48
286,600551,时代出版,2015-03-31,3,-53,13.47,-298.88,286.84,0.03
287,600549,厦门钨业,2015-03-31,10,-135,1754.55,-3233.64,67076.26,1.98
288,600547,山东黄金,2015-03-31,14,-108,2152.29,-3272.97,57681.46,1.51
289,600546,山煤国际,2015-03-31,4,-44,64.05,-1024.02,380.44,0.03
290,600536,中国软件,2015-03-31,11,-52,2152.13,-2067.49,111157.73,4.35
291,600535,天士力,2015-03-31,35,-172,6960.92,-5866.68,335655.64,6.74
292,600533,栖霞建设,2015-03-31,3,-13,213.11,-5583.94,1178.52,0.20
293,600532,宏达矿业,2015-03-31,3,-9,466.00,19.80,5927.52,1.18
294,600528,中铁工业,2015-03-31,2,-63,200.27,-1511.63,4684.27,0.14
295,600525,长园集团,2015-03-31,12,-80,6302.29,-13224.85,108210.40,5.18
296,600522,中天科技,2015-03-31,2,-67,305.66,-1455.97,6684.81,0.13
297,600521,华海药业,2015-03-31,11,-112,1978.26,-10455.48,34659.07,1.93
298,600519,贵州茅台,2015-03-31,45,-173,2184.91,-2146.63,428154.47,1.74
299,600518,康美药业,2015-03-31,34,-137,9320.13,-11736.14,289017.32,2.12
300,600517,置信电气,2015-03-31,1,-70,171.32,-4755.24,2398.45,0.14
301,600513,联环药业,2015-03-31,4,-7,32.00,-760.85,698.24,0.11
302,600511,国药股份,2015-03-31,20,-135,4336.87,-8622.75,153915.57,15.62
303,600509,天富能源,2015-03-31,1,-56,50.00,-4802.12,608.00,0.06
304,600508,上海能源,2015-03-31,3,-9,12.15,-142.83,146.01,0.02
305,600507,方大特钢,2015-03-31,4,-44,1470.44,-1775.29,10204.85,1.11
306,600503,华丽家族,2015-03-31,2,-21,6.16,-2609.92,40.96,0.00
307,600502,安徽水利,2015-03-31,5,-31,842.43,-1229.01,12518.51,0.93
308,600501,航天晨光,2015-03-31,1,-14,20.00,-4720.25,337.80,0.05
309,600499,科达洁能,2015-03-31,11,-53,2791.87,-560.17,63291.68,1.98
310,600498,烽火通信,2015-03-31,17,-101,3403.15,-2128.10,80620.70,3.37
311,600497,驰宏锌锗,2015-03-31,5,-105,4298.50,-4048.65,58760.51,1.00
312,600496,精工钢构,2015-03-31,5,-60,318.45,-786.26,5057.03,0.21
313,600495,晋西车轴,2015-03-31,1,-12,10.00,-298.70,239.40,0.01
314,600491,龙元建设,2015-03-31,4,-18,22.83,-918.51,281.27,0.02
315,600490,鹏欣资源,2015-03-31,8,-53,1103.63,-2016.10,16819.29,0.75
316,600489,中金黄金,2015-03-31,4,-104,1588.06,-7273.42,19961.89,0.46
317,600486,扬农化工,2015-03-31,5,-57,1294.50,-3709.60,47391.68,4.18
318,600485,信威集团,2015-03-31,3,-86,2105.71,-1248.49,97725.86,1.29
319,600483,福能股份,2015-03-31,3,-18,158.95,-2802.86,1978.24,0.55
320,600481,双良节能,2015-03-31,6,-66,285.03,-3659.17,3109.71,0.18
321,600479,千金药业,2015-03-31,1,-41,442.20,-2825.32,9228.66,1.45
322,600478,科力远,2015-03-31,1,-43,0.48,-1026.05,11.06,0.00
323,600476,湘邮科技,2015-03-31,2,-16,90.41,-700.62,2514.37,0.56
324,600475,华光股份,2015-03-31,2,-9,300.10,-719.21,6199.46,1.17
325,600469,风神股份,2015-03-31,5,-20,297.94,-528.47,6399.77,0.53
326,600468,百利电气,2015-03-31,2,-39,41.99,-290.95,827.98,0.08
327,600466,蓝光发展,2015-03-31,10,-10,3258.89,-762.36,37509.83,3.69
328,600460,士兰微,2015-03-31,3,-58,1523.66,-4129.36,12356.85,1.22
329,600455,博通股份,2015-03-31,3,-7,186.15,-97.81,5941.94,3.74
330,600448,华纺股份,2015-03-31,1,-1,100.00,-19.37,814.00,0.24
331,600446,金证股份,2015-03-31,63,-68,6167.39,-633.49,751187.98,7.70
