,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
564,600408,安泰集团,-0.05,-58.33,,-5.12,,-4814.66,-59.68,,04-29
565,600058,五矿发展,0.01,-94.29,,0.19,,925.97,-94.27,,04-29
566,600806,*ST昆机,-0.11,120.0,,-15.17,,-5895.06,120.61,,04-29
567,603033,三维股份,0.08,-52.94,,0.65,,734.97,-34.59,,04-29
568,000886,海南高速,0.06,250.0,,2.12,,5544.67,253.32,,04-29
569,600823,世茂股份,0.09,-30.77,,1.24,,24642.11,-2.62,,04-29
570,000158,常山股份,-0.01,-52.38,,-0.22,,-1240.88,-54.01,,04-29
571,600485,信威集团,-0.09,-156.25,,-2.0,,-27749.53,-159.77,,04-29
572,000906,浙商中拓,0.11,37.5,,2.63,,4516.16,46.08,,04-29
573,600110,诺德股份,0.03,301.3,,1.88,,3550.9,302.08,,04-29
574,000413,东旭光电,0.08,-11.11,,1.75,,39278.26,12.95,,04-29
575,600860,*ST京城,-0.04,-42.86,,-3.39,,-1884.86,-37.86,,04-29
576,600127,金健米业,0.01,-37.5,,0.56,,419.49,-37.39,,04-29
577,000950,*ST建峰,-0.04,-86.3,,-2.16,,-2217.6,-86.41,,04-29
578,600876,洛阳玻璃,0.0,175.0,,0.22,,115.83,165.03,,04-29
579,002599,盛通股份,0.02,48.15,,0.29,,260.82,43.0,,04-29
580,600539,狮头股份,0.0,-112.0,,0.16,,75.74,-113.21,,04-29
581,603313,梦百合,0.28,-3.45,,3.97,,6735.49,31.15,,04-29
582,600166,福田汽车,0.01,-40.91,,0.46,,8714.71,17.31,,04-29
583,600960,渤海活塞,0.07,120.0,,1.45,,6278.0,303.92,,04-29
584,603358,华达科技,0.49,11.36,,5.19,,7762.01,48.03,,04-29
585,600184,光电股份,0.0,100.0,,0.04,,97.71,60.39,,04-29
586,600595,中孚实业,0.0,-96.67,,0.07,,360.38,-96.8,,04-29
587,600999,招商证券,0.21,18.13,,2.27,,137451.62,36.23,,04-29
588,603567,珍宝岛,0.14,-12.48,,2.69,,11739.53,75.09,,04-29
589,600257,大湖股份,0.01,-0.75,,0.49,,633.4,11.3,,04-29
