,code,name,mbrg,nprg,nav,targ,epsg,seg
1974,002868,绿康生化,-15.6299,-14.1663,,,-14.7059,
1975,600642,申能股份,15.6933,-14.1724,6.7642,4.141,-13.2813,5.9727
1976,601886,江河集团,-3.9809,-14.2613,13.4498,6.7096,0.0,9.5982
1977,002102,冠福股份,517.4636,-14.2933,73.0926,56.091,-76.2172,74.3623
1978,600649,城投控股,-63.3654,-14.3274,-12.8959,-24.6977,-16.6667,-11.1885
1979,300059,东方财富,-31.879,-14.3836,55.8484,39.1093,-33.0484,55.9171
1980,002138,顺络电子,7.0747,-14.3988,10.1919,19.102999999999998,-10.0,10.2313
1981,002356,赫美集团,110.3685,-14.540999999999999,9.4956,63.4588,-28.5714,7.6375
1982,603126,中材节能,18.5839,-14.7478,8.9683,9.3082,-18.8954,8.574
1983,600039,四川路桥,-38.0227,-14.9789,12.9279,8.6406,-19.2,11.1205
1984,600315,上海家化,-13.0382,-15.0275,-8.1309,-7.1381,-15.7895,-8.1309
1985,600287,江苏舜天,21.1591,-15.1048,50.6192,27.6069,-11.7769,58.9719
1986,300216,千山药机,20.9109,-15.158,22.9426,38.1632,20.0,19.8487
1987,600526,菲达环保,7.5664,-15.3006,0.0691,8.5645,-25.0,-0.569
1988,600333,长春燃气,10.7953,-15.415999999999999,1.8668,7.0864,-25.0,2.0916
1989,000421,南京公用,0.7939,-15.5668,-3.1854,7.813,-26.8336,4.4755
1990,603577,汇金通,50.038999999999994,-15.6104,,,-38.4615,
1991,300517,海波重科,-11.5138,-15.6558,83.0542,23.4832,-37.5,83.0542
1992,601107,四川成渝,-6.3169,-15.6584,3.84,7.9203,-18.3857,5.8441
1993,002038,双鹭药业,-12.4904,-15.7229,7.966,7.7669,-15.6364,8.1335
1994,300519,新光药业,-9.616,-15.7462,93.8695,80.6776,-36.3636,93.8695
1995,603822,嘉澳环保,93.041,-15.8122,54.4265,44.2418,-32.8475,50.7636
1996,002681,奋达科技,14.2155,-15.8589,12.9279,34.8332,-58.4296,12.8739
1997,300403,地尔汉宇,2.779,-16.0051,9.1599,13.4767,-16.8465,8.8753
1998,000700,模塑科技,6.2786,-16.2004,31.0559,36.6622,-58.0829,31.0559
1999,002509,天广中茂,19.8119,-16.3713,9.1067,46.6339,-66.6667,9.1065
2000,600615,丰华股份,2.1183,-16.3835,1.9345,-11.8241,-12.5,1.8319
