,code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
1182,002271,东方雨虹,0.5428,663.2277,1.0903,330.1844,0.2536,1419.5584
1183,002506,协鑫集成,0.376,957.4468,1.0884,330.7607,0.135,2666.6667
1184,002536,西泵股份,1.1584,310.7735,1.0854,331.675,0.4042,890.6482
1185,300327,中颖电子,1.9277,186.7511,1.0851,331.7667,0.1999,1800.9005
1186,000949,新乡化纤,3.6964,97.3921,1.0843,332.0114,0.4585,785.169
1187,300530,达志科技,1.1342,317.4043,1.0817,332.8095,0.0822,4379.562
1188,600877,*ST嘉陵,1.0981,327.839,1.0814,332.9018,0.1904,1890.7563
1189,002454,松芝股份,0.878,410.0228,1.0809,333.0558,0.2951,1219.9254
1190,600645,中源协和,1.057,340.5866,1.0797,333.426,0.2786,1292.1752
1191,600353,旭光股份,0.7695,467.8363,1.0791,333.6113,0.2027,1776.0237
1192,600960,渤海活塞,1.1171,322.263,1.0781,333.9208,0.157,2292.9936
1193,002601,龙蟒佰利,2.5478,141.2984,1.0779,333.9827,0.4759,756.4614
1194,002580,圣阳股份,0.4871,739.068,1.0772,334.1998,0.2256,1595.7447
1195,002402,和而泰,1.1267,319.5172,1.0767,334.355,0.3458,1041.0642
1196,603320,迪贝电气,2.1869,164.6166,1.0744,335.0707,0.4444,810.081
1197,300002,神州泰岳,0.5759,625.1085,1.0736,335.3204,0.2138,1683.8167
1198,002723,金莱特,2.0534,175.31900000000002,1.073,335.5079,0.5835,616.9666
1199,002516,旷达科技,0.5229,688.4682,1.0721,335.7896,0.2027,1776.0237
1200,600114,东睦股份,1.1201,321.3999,1.0706,336.26,0.3217,1119.055
1201,002692,睿康股份,0.4019,895.7452,1.0696,336.5744,0.22399999999999998,1607.1429
1202,601886,江河集团,0.2383,1510.7008,1.0683,336.98400000000004,0.1398,2575.1073
1203,600127,金健米业,5.0166,71.7618,1.0678,337.1418,0.6096,590.5512
1204,002388,新亚制程,1.1578,310.9345,1.0678,337.1418,0.2256,1595.7447
1205,002637,赞宇科技,4.2148,85.4133,1.0655,337.8695,0.5682,633.5797
